2132;Adviseurs op het gebied van landbouw, bosbouw en visserij;wetenschappelijk onderzoeker landbouw, tuinbouwkundige, staladviseur, relatiebeheerder agrarisch, plantenteeltkundige, onderzoeker plantenteelt, onderzoeker cultuurtechniek, landbouwconsulent, irrigatiedeskundige, cultuurtechnicus, bosbouwkundig adviseur, bedrijfsvoorlichter agrarische bedrijfsvoering, agrarisch adviseur, adviseur tuinbouw, adviseur bloementeelt, adviseur agrarische bedrijfsvoering;;;
2133;Milieudeskundigen;wetenschappelijk onderzoeker milieukunde, projectleider bodemonderzoek en -saneringen, milieukundige, milieukundig voorlichter, medewerker bodemonderzoek en -saneringen, bodemkundige cultuurtechniek, bodemkundige, adviseur milieu, adviseur bodemonderzoek en -saneringen;;;
2141;Industrieel ingenieurs en productie-ingenieurs;production engineer, industrial engineer;;;
2142;Weg- en waterbouwkundig ingenieurs;wetenschappelijk onderzoeker civiele techniek, wetenschappelijk onderzoeker bouwkunde, projectleider weg- en waterbouw (inclusief ontwerp), projectleider riolering, projectleider railinfra, projectleider kabel- en leidinginfra, projectleider grond-, weg- en waterbouw (gww), projectleider bronbemaling, constructeur civiele techniek, constructeur bouwkunde, civieltechnisch adviseur, civiel ingenieur, bouwkundige, bouwkundig ingenieur, bouwkundig adviseur, bouwfysicus, adviseur waterbouw, adviseur stedelijk water, adviseur riolering, adviseur huisvesting, adviseur geotechniek, adviseur civiele techniek, adviseur civiele constructies;;;
2143;Milieu-ingenieurs;watermanager, millieutechnoloog, milieutechnicus, inspecteur waterbeheer, ingenieur milieutechnologie, consultant waterbeheer, adviseur milieutechnologie;;;
2144;Werktuigbouwkundig ingenieurs;wetenschappelijk onderzoeker werktuigbouwkunde, wetenschappelijk onderzoeker vliegtuigbouwkunde, wetenschappelijk onderzoeker scheepsbouwkunde, ontwerper voertuigbouw, ontwerper scheepsbouw, ontwerper pijpleidingsystemen, ontwerper machines, gereedschappen, ontwerper installatietechniek, mechanical engineer, manufacturing engineer, maintenance engineer, laspraktijkingenieur, gasturbinetechnicus, constructeur voertuigbouw, constructeur vliegtuigbouw, constructeur scheepsbouw, constructeur pijpleidingsystemen, constructeur machines, gereedschappen, constructeur kernreactortechniek, constructeur installatietechniek;;;
2145;Chemisch ingenieurs;wetenschappelijk onderzoeker procestechnologie, voedingsmiddelentechnoloog, verftechnoloog, textieltechnoloog, procestechnoloog, proces engineer, levensmiddelentechnoloog, kunststoffentechnoloog, ingenieur chemie, chemisch technoloog;;;
2146;Mijnbouwingenieurs, metallurgen e.d.;wireline engineer, wetenschappelijk onderzoeker mijnbouwkunde, wetenschappelijk onderzoeker ertskunde, rig designer, mud engineer, mineraloog, mijnbouwkundige, measurement while drilling (mwd) engineer, ingenieur mijnbouw, gieterij ingenieur, drilling engineer;;;
2149;Ingenieurs, niet elders geclassificeerd;wetenschappelijk onderzoeker materiaalkunde, optical engineer, materiaalkundige, houttechnoloog, cost engineer, bouwkostendeskundige;;;
2151;Elektrotechnisch ingenieurs;wetenschappelijk onderzoeker elektrotechniek, projectleider elektrotechniek, ontwerper elektrotechnische installaties, leidinggevend elektrotechnicus, hoofdontwerper elektrotechnische installaties, elektrotechnisch opzichter, elektrotechnisch ingenieur, elektrotechnisch constructeur;;;
2152;Elektronica-ingenieurs;projectleider industriële automatisering, plc-programmeur, ontwerper industriële automatisering, ontwerper elektronica, hoofdontwerper industriële automatisering, hoofdontwerper elektronica, hardware ontwikkelaar besturingstechniek, hardware engineer computertechniek, hardware designer, equipment engineer, besturingstechnicus, asic-ontwerper;;;
